Time,rx,ry,rz,vx,vy,vz
2017-01-09 16:08:30,-2315584.373135057,-6900993.232247475,-4271529.854844979,-1184.6110071066478,6299.1561941491145,-4678.155909623446
2017-01-09 16:09:00,-2350517.8585010134,-6710241.362055404,-4409632.404392436,-1144.3971013318271,6416.475115610795,-4527.722659577302
2017-01-09 16:09:30,-2384256.3698259336,-6516077.232937355,-4543137.930570191,-1104.99817079103,6526.549257170236,-4371.759420751119
2017-01-09 16:10:00,-2416829.155447809,-6318726.189177972,-4671887.306149002,-1066.7366951618608,6628.85204594367,-4210.7271726418185
2017-01-09 16:10:30,-2448275.44201086,-6118428.8072608365,-4795736.177197735,-1029.9584529651754,6722.892446951612,-4045.1534340724074
2017-01-09 16:11:00,-2478645.223480115,-5915439.800191312,-4914557.0702292025,-995.0307588391016,6808.225390605647,-3875.6310727231253
2017-01-09 16:11:30,-2507999.7110639676,-5710026.31248173,-5028241.149439545,-962.3402497718641,6884.4632127462155,-3702.8157476677216
2017-01-09 16:12:00,-2536412.0362856276,-5502466.175020058,-5136700.201102993,-932.2896326232773,6951.286909571146,-3527.421388782833
2017-01-09 16:12:30,-2563967.6507282364,-5293045.661165631,-5239868.29377123,-905.2937374977043,7008.457722703009,-3350.2138203780655
2017-01-09 16:13:00,-2590764.4832532527,-5082056.775749299,-5337703.031506687,-881.7748148657776,7055.82867387021,-3172.0024045259397
2017-01-09 16:13:30,-2616913.2000638335,-4869794.446448837,-5430186.846483733,-862.1566884510186,7093.354977317801,-2993.6292919141597
2017-01-09 16:14:00,-2642537.1263614516,-4656553.307553069,-5517327.807762831,-846.858074669115,7121.1035266093295,-2815.956532403199
2017-01-09 16:14:30,-2667772.000667707,-4442624.206458035,-5599159.945785025,-836.285081638905,7139.260784926634,-2639.8511393898248
2017-01-09 16:15:00,-2692765.4221742726,-4228290.520839304,-5675743.142879343,-830.8228583908086,7148.138508759004,-2466.1681278592887
2017-01-09 16:15:30,-2717676.104624175,-4013824.353209804,-5747162.534536928,-830.8264996272862,7148.176756870014,-2295.731885465548
2017-01-09 16:16:00,-2742672.9022659957,-3799482.6937480825,-5813527.293111473,-836.6115468146534,7139.943683107778,-2129.316434292344
2017-01-09 16:16:30,-2767933.342277994,-3585503.585130891,-5874968.771184505,-848.444028907184,7124.13194585777,-1967.624929023369
2017-01-09 16:17:00,-2793642.1233799765,-3372102.5254134336,-5931638.147420297,-866.5305702527924,7101.5508827361455,-1811.2693071930184
2017-01-09 16:17:30,-2819989.0954082846,-3159469.113971908,-5983703.314386862,-891.0088623589311,7073.114755109087,-1660.7508933358527
2017-01-09 16:18:00,-2847167.1662204433,-2947764.1876653894,-6031345.305210788,-921.9389035850703,7039.8266030191235,-1516.4428971118116
2017-01-09 16:18:30,-2875369.665984018,-2737117.335639723,-6074754.264966,-959.2945838005319,7002.758619309313,-1378.574966044679
2017-01-09 16:19:00,-2904787.8650903287,-2527625.29115548,-6114124.927097272,-1002.9578147579746,6963.028236186437,-1247.222403768562
2017-01-09 16:19:30,-2935608.000605357,-2319350.886406299,-6149651.859612541,-1052.7136459803216,6921.771917368274,-1122.299023373987
2017-01-09 16:20:00,-2968008.3703885903,-2112322.9262548424,-6181524.591692116,-1108.247897444634,6880.116606674825,-1003.5554636961159
2017-01-09 16:20:30,-3002156.3819020153,-1906536.9267852567,-6209922.785732267,-1169.1472287773347,6839.15020476422,-890.5830590578302
2017-01-09 16:21:00,-3038205.731120359,-1701956.7673490427,-6235011.699740961,-1234.9019093262552,6799.892122847518,-782.8235015565597
2017-01-09 16:21:30,-3076293.068607768,-1498517.020513341,-6256937.435606209,-1304.91131624222,6763.266195693059,-679.5840811341708
2017-01-09 16:22:00,-3116536.115632024,-1296126.373285534,-6275823.8812281275,-1378.492084745696,6730.074675169716,-580.0581064991317
2017-01-09 16:22:30,-3159030.794958833,-1094671.5145431242,-6291769.140853014,-1454.8889831825595,6700.977793290815,-483.3498511105255
2017-01-09 16:23:00,-3203849.5189075833,-894021.6648177037,-6304843.522525855,-1533.287958754215,6676.477152936569,-388.5027965125276
2017-01-09 16:23:30,-3251039.574652007,-694033.5239218049,-6315088.099974985,-1612.8310551167776,6656.905129906732,-294.530018834458
2017-01-09 16:24:00,-3300622.041453507,-494556.42153163935,-6322514.26040556,-1692.6327153299956,6642.420212543762,-200.44533942353917
2017-01-09 16:24:30,-3352591.236900261,-295437.52917831985,-6327104.205518754,-1771.7968167621966,6633.008381718482,-105.2937812538022
2017-01-09 16:25:00,-3406914.6489540525,-96526.94365026297,-6328812.312563302,-1849.4338814733335,6628.490372053136,-8.180032931260163
2017-01-09 16:25:30,-3463533.391812629,102317.53388931982,-6327567.315063973,-1924.6778231046844,6628.534192667008,91.70628793603912
2017-01-09 16:26:00,-3522363.148128785,301226.05954777705,-6323275.1803982435,-1996.7016576500532,6632.672118479294,195.06951728485353
2017-01-09 16:26:30,-3583295.5582630932,500312.97388089466,-6315822.547640841,-2064.731676080591,6640.321161746885,302.4916432717364
2017-01-09 16:27:00,-3646200.007888907,699673.6822968683,-6305080.578600766,-2128.0596637651925,6650.805919050872,414.42118763388123
2017-01-09 16:27:30,-3710925.74763808,899382.241711458,-6290909.062616051,-2186.0528684797337,6663.382674094624,531.1673310479975
2017-01-09 16:28:00,-3777304.2756241695,1099489.6763036544,-6273160.621081749,-2238.1615373818086,6677.263678222757,652.8990689446588
2017-01-09 16:28:30,-3845151.908768138,1300023.0120360719,-6251684.867264497,-2283.9239618691727,6691.640639264887,779.6489513949367
2017-01-09 16:29:00,-3914272.4685085816,1500984.993614444,-6226332.392636272,-2322.9690799389673,6705.706602581454,911.3207851701226
2017-01-09 16:29:30,-3984460.0099806027,1702354.425691199,-6196958.4720336795,-2355.0167804938537,6718.675586938552,1047.7005609986477
2017-01-09 16:30:00,-4055501.528676714,1904087.063522695,-6163426.40262784,-2379.8761301336385,6729.799528455181,1188.469814125117
2017-01-09 16:30:30,-4127179.5863390528,2106116.968048093,-6125610.415680367,-2397.4417978359847,6738.382271145299,1333.2206252045291
2017-01-09 16:31:00,-4199274.806500715,2308358.2349495594,-6083398.123236725,-2407.6889865232683,6743.790511966485,1481.4715118833278
2017-01-09 16:31:30,-4271568.199642,2510707.00683232,-6036692.483290767,-2410.667194315264,6745.461753368859,1632.6835381959575
2017-01-09 16:32:00,-4343843.287629256,2713043.68106002,-5985413.285726991,-2406.4931249407027,6742.909432619383,1786.2760675411428
2017-01-09 16:32:30,-4415888.006402072,2915235.2322976035,-5929498.176688295,-2395.3430487992973,6735.725483338929,1941.6416956602664
2017-01-09 16:33:00,-4487496.3732758835,3117137.5788622713,-5868903.246102851,-2377.4448743383455,6723.580641745272,2098.160025034448
2017-01-09 16:33:30,-4558469.926315191,3318597.920199482,-5803603.254812963,-2353.070267375319,6706.222837184912,2255.209947096735
2017-01-09 16:34:00,-4628618.89999961,3519457.017808076,-5733591.449888944,-2322.5267841570835,6683.474038300314,2412.1805050508624
2017-01-09 16:34:30,-4697763.207183245,3719551.348524417,-5658879.146240699,-2286.1504750307085,6655.22585890132,2568.479994121583
2017-01-09 16:35:00,-4765733.181388204,3918715.117049863,-5579495.025121949,-2244.298885373451,6621.434287137728,2723.543500288899
2017-01-09 16:35:30,-4832370.122468749,4116782.10028643,-5495484.2359607015,-2197.3446081128045,6582.113805560927,2876.8388718157307
2017-01-09 16:36:00,-4897526.660003421,4313587.309568589,-5406907.343310933,-2145.669442380393,6537.331160042097,3027.871228896594
2017-01-09 16:36:30,-4961066.948769242,4508968.4627176495,-5313839.157083378,-2089.6591842978833,6487.19899702334,3176.186144345264
2017-01-09 16:37:00,-5022866.721697558,4702767.266410717,-5216367.488250936,-2029.6990586944287,6431.869540727108,3321.371638502626
2017-01-09 16:37:30,-5082813.213712386,4894830.511467108,-5114591.859811143,-1966.1697837183497,6371.528458042991,3463.059140665457
2017-01-09 16:38:00,-5140804.981516739,5085010.988981601,-5008622.204993858,-1899.4442393237198,6306.389012618975,3600.9235697970416
2017-01-09 16:38:30,-5196751.568425293,5273168.224936964,-4898577.53557398,-1829.8847012694089,6236.686641687094,3734.6827162207815
2017-01-09 16:39:00,-5250573.244302777,5459169.084511861,-4784584.728921016,-1757.8406118148118,6162.673834894355,3864.0959562541807
2017-01-09 16:39:30,-5302200.5386482645,5642888.205872964,-4666777.27343686,-1683.6468274143342,6084.615588231389,3988.9625667650826
2017-01-09 16:40:00,-5351573.77260536,5824208.305351967,-4545294.095265622,-1607.622289559545,6002.7852877237265,4109.119673427408
2017-01-09 16:40:30,-5398642.607793973,6003020.388277113,-4420278.481457843,-1530.0690972914674,5917.46102063928,4224.439911771635
2017-01-09 16:41:00,-5443365.498390333,6179223.83044784,-4291877.032141692,-1451.2718958001333,5828.922398938922,4334.828963776357
2017-01-09 16:41:30,-5485709.166645183,6352726.379558938,-4160238.710328983,-1371.4975604208582,5737.447787424441,4440.222981182755
2017-01-09 16:42:00,-5525648.084059812,6523444.091650705,-4025513.976897047,-1290.995134829913,5643.3119317952505,4540.585963180919
